No,County/ Sub-County,Total,Conventional Households,Group Quarters,Owned houses,per cent owned,Rented Houses,per cent rented,Not stated,per cent not-stated
1,KENYA,12143913,12043016,100897,7379485,61.3,4660027,38.7,3504,0
2,Rural,7432249,7379282,52967,6387020,86.6,990602,13.4,1660,0
3,Urban,4711664,4663734,47930,992465,21.3,3669425,78.7,1844,0
4,MOMBASA,378422,376295,2127,78346,20.8,297830,79.1,119,0
5,CHANGAMWE,46614,46439,175,4531,9.8,41903,90.2,5,0
6,JOMVU,53472,53214,258,14021,26.3,39185,73.6,8,0
7,KISAUNI,88202,88159,43,25407,28.8,62711,71.1,41,0
8,LIKONI,81191,80002,1189,17401,21.8,62586,78.2,15,0
9,MVITA,38995,38710,285,6516,16.8,32172,83.1,22,0.1
10,NYALI,69948,69771,177,10470,15,59273,85,28,0
11,KWALE,173176,172802,374,133135,77,39612,22.9,55,0
12,KINANGO,16043,16041,2,14679,91.5,1359,8.5,3,0
13,LUNGALUNGA,37366,37276,90,33298,89.3,3973,10.7,5,0
14,MATUGA,39231,39124,107,32740,83.7,6374,16.3,10,0
15,MSAMBWENI,45466,45374,92,23263,51.3,22098,48.7,13,0
16,SAMBURU,35070,34987,83,29155,83.3,5808,16.6,24,0.1
17,KILIFI,298472,297990,482,199451,66.9,98466,33,73,0
18,CHONYI,11421,11416,5,11098,97.2,318,2.8,-,-
19,GANZE,23258,23197,61,21647,93.3,1538,6.6,12,0.1
20,KALOLENI,36355,36344,11,27636,76,8693,23.9,15,0
21,KAUMA,3479,3479, -,3311,95.2,168,4.8,-,-
22,KILIFI NORTH,39512,39508,4,23143,58.6,16361,41.4,4,0
23,KILIFI SOUTH,53074,53011,63,23385,44.1,29620,55.9,6,0
24,MAGARINI,33017,32978,39,28655,86.9,4314,13.1,9,0
25,MALINDI,73547,73317,230,41731,56.9,31563,43.1,23,0
26,RABAI,24809,24740,69,18845,76.2,5891,23.8,4,0
27,TANA RIVER,68242,66984,1258,52564,78.5,14383,21.5,37,0.1
28,TANA DELTA,22791,22395,396,19641,87.7,2744,12.3,10,0
29,TANA NORTH,26886,26119,767,18245,69.9,7865,30.1,9,0
30,TANA RIVER,18565,18470,95,14678,79.5,3774,20.4,18,0.1
31,LAMU,37963,34231,3732,23238,67.9,10981,32.1,12,0
32,LAMU EAST,5090,4476,614,3289,73.5,1187,26.5,-,-
33,LAMU WEST,32873,29755,3118,19949,67,9794,32.9,12,0
34,TAITA/TAVETA,96429,94468,1961,62688,66.4,31754,33.6,26,0
35,MWATATE,23698,23184,514,16932,73,6248,26.9,4,0
36,TAITA,15094,14985,109,12467,83.2,2517,16.8,1,0
37,TAVETA,24115,23417,698,15358,65.6,8053,34.4,6,0
38,VOI,33522,32882,640,17931,54.5,14936,45.4,15,0
39,GARISSA,141394,138940,2454,121453,87.4,17450,12.6,37,0
40,BALAMBALA,4337,3986,351,3915,98.2,71,1.8,-,-
41,DADAAB,35793,35169,624,33111,94.1,2048,5.8,10,0
42,FAFI,23671,23351,320,22297,95.5,1047,4.5,7,0
43,GARISSA,30518,29790,728,17884,60,11892,39.9,14,0
44,HULUGHO,20254,20078,176,19759,98.4,318,1.6,1,0
45,IJARA,18481,18296,185,16577,90.6,1714,9.4,5,0
46,LAGDERA,8340,8270,70,7910,95.6,360,4.4,-,-
47,WAJIR,127932,126878,1054,120367,94.9,6503,5.1,8,0
48,BUNA,6480,6480, -,6327,97.6,153,2.4,-,-
49,ELDAS,13961,13862,99,13711,98.9,151,1.1,-,-
50,HABASWEIN,31292,31113,179,29816,95.8,1293,4.2,4,0
51,TARBAJ,9309,9241,68,9139,98.9,102,1.1,-,-
52,WAJIR EAST,18674,18282,392,14995,82,3285,18,2,0
53,WAJIR NORTH,10490,10478,12,9855,94.1,623,5.9,-,-
54,WAJIR SOUTH,21364,21149,215,20796,98.3,351,1.7,2,0
55,WAJIR WEST,16362,16273,89,15728,96.7,545,3.3,-,-
56,MANDERA,125763,123954,1809,114521,92.4,9410,7.6,23,0
57,MANDERA WEST,14274,14201,73,13481,94.9,718,5.1,2,0
58,BANISA,24285,24000,285,23613,98.4,386,1.6,1,0
59,KOTULO,9446,9342,104,9017,96.5,325,3.5,-,-
60,LAFEY,11597,11380,217,11066,97.2,314,2.8,-,-
61,MANDERA CENTRAL,21140,20795,345,19324,92.9,1451,7,20,0.1
62,MANDERA EAST,25904,25206,698,19682,78.1,5524,21.9,-,-
63,MANDERA NORTH,19117,19030,87,18338,96.4,692,3.6,-,-
69,MARSABIT,77495,76689,806,66082,86.2,10561,13.8,46,0.1
70,LOIYANGALANI,7774,7646,128,7376,96.5,270,3.5,-,-
71,MARSABIT CENTRAL,15849,15658,191,10880,69.5,4776,30.5,2,0
72,MARSABIT NORTH,7521,7468,53,7338,98.3,130,1.7,-,-
73,MARSABIT SOUTH,11615,11563,52,11151,96.4,409,3.5,3,0
74,MOYALE,17709,17591,118,13395,76.1,4194,23.8,2,0
75,NORTH HORR,9789,9601,188,9449,98.4,114,1.2,38,0.4
76,SOLOLO,7238,7162,76,6493,90.7,668,9.3,1,0
77,ISIOLO,58072,53217,4855,38285,71.9,14918,28,14,0
78,GARBATULLA,18661,17047,1614,15450,90.6,1592,9.3,5,0
79,ISIOLO,29853,27612,2241,14669,53.1,12934,46.8,9,0
80,MERTI,9558,8558,1000,8166,95.4,392,4.6,-,-
81,MERU,426360,423931,2429,313867,74,109916,25.9,148,0
82,BUURI EAST,23834,23737,97,17740,74.7,5986,25.2,11,0
83,BUURI WEST,27973,27905,68,13216,47.4,14685,52.6,4,0
84,IGEMBE CENTRAL,52031,51848,183,42208,81.4,9624,18.6,16,0
85,IGEMBE NORTH,38871,38716,155,31541,81.5,7158,18.5,17,0
86,IGEMBE SOUTH,43281,43222,59,29694,68.7,13507,31.3,21,0
87,IMENTI NORTH,57668,57556,112,30338,52.7,27198,47.3,20,0
88,IMENTI SOUTH,64186,63954,232,46723,73.1,17221,26.9,10,0
89,MERU CENTRAL,39595,39498,97,33046,83.7,6436,16.3,16,0
90,TIGANIA CENTRAL,25039,24983,56,22213,88.9,2767,11.1,3,0
91,TIGANIA EAST,17185,16791,394,14873,88.6,1900,11.3,18,0.1
92,TIGANIA WEST,36207,35402,805,32080,90.6,3310,9.3,12,0
93,MERU NATIONAL PARK,207,46,161,-,- ,46,100,-,-
94,MT. KENYA FOREST,283,273,10,195,71.4,78,28.6,-,-
95,THARAKA-NITHI,109860,109450,410,90352,82.6,19062,17.4,36,0
96,IGAMBANG'OMBE,14398,14383,15,12551,87.3,1826,12.7,6,0
97,MAARA,35041,34779,262,28925,83.2,5845,16.8,9,0
98,MERU SOUTH,28249,28211,38,20258,71.8,7943,28.2,10,0
