No,County/ Sub-County,Owned,Purchased Number,Purchased per cent,Mode of Acquisition ConstructedNumber,Mode of Acquisition ConstructedNumber per cent,InheritedNumber,Inherited per cent
1,KENYA,7379485,206186,2.8,6931471,93.9,241828,3.3
2,Rural,6387020,104846,1.6,6131108,96,151066,2.4
3,Urban,992465,101340,10.2,800363,80.6,90762,9.1
4,MOMBASA,78346,8289,10.6,58291,74.4,11766,15
5,CHANGAMWE,4531,680,15,2362,52.1,1489,32.9
6,JOMVU,14021,649,4.6,12295,87.7,1077,7.7
7,KISAUNI,25407,2198,8.7,21294,83.8,1915,7.5
8,LIKONI,17401,1100,6.3,14321,82.3,1980,11.4
9,MVITA,6516,1536,23.6,1759,27,3221,49.4
10,NYALI,10470,2126,20.3,6260,59.8,2084,19.9
11,KWALE,133135,1324,1,128618,96.6,3193,2.4
12,KINANGO,14679,42,0.3,14577,99.3,60,0.4
13,LUNGALUNGA,33298,428,1.3,32344,97.1,526,1.6
14,MATUGA,32740,294,0.9,31484,96.2,962,2.9
15,MSAMBWENI,23263,451,1.9,21427,92.1,1385,6
16,SAMBURU,29155,109,0.4,28786,98.7,260,0.9
17,KILIFI,199451,3021,1.5,192187,96.4,4243,2.1
18,CHONYI,11098,31,0.3,10993,99.1,74,0.7
19,GANZE,21647,217,1,21296,98.4,134,0.6
20,KALOLENI,27636,214,0.8,26980,97.6,442,1.6
21,KAUMA,3311,14,0.4,3283,99.2,14,0.4
22,KILIFI NORTH,23143,311,1.3,22324,96.5,508,2.2
23,KILIFI SOUTH,23385,661,2.8,22013,94.1,711,3
24,MAGARINI,28655,317,1.1,27977,97.6,361,1.3
25,MALINDI,41731,1191,2.9,38867,93.1,1673,4
26,RABAI,18845,65,0.3,18454,97.9,326,1.7
27,TANA RIVER,52564,1695,3.2,49705,94.6,1164,2.2
28,TANA DELTA,19641,264,1.3,18989,96.7,388,2
29,TANA NORTH,18245,1267,6.9,16572,90.8,406,2.2
30,TANA RIVER,14678,164,1.1,14144,96.4,370,2.5
31,LAMU,23238,408,1.8,20969,90.2,1861,8
32,LAMU EAST,3289,98,3,2339,71.1,852,25.9
33,LAMU WEST,19949,310,1.6,18630,93.4,1009,5.1
34,TAITA/TAVETA,62688,638,1,58664,93.6,3386,5.4
35,MWATATE,16932,149,0.9,15788,93.2,995,5.9
36,TAITA,12467,50,0.4,11583,92.9,834,6.7
37,TAVETA,15358,146,1,14666,95.5,546,3.6
38,VOI,17931,293,1.6,16627,92.7,1011,5.6
39,GARISSA,121453,14178,11.7,103042,84.8,4233,3.5
40,BALAMBALA,3915,646,16.5,3180,81.2,89,2.3
41,DADAAB,33111,3442,10.4,28360,85.7,1309,4
42,FAFI,22297,3259,14.6,18435,82.7,603,2.7
43,GARISSA,17884,2338,13.1,14718,82.3,828,4.6
44,HULUGHO,19759,1711,8.7,17760,89.9,288,1.5
45,IJARA,16577,2406,14.5,13565,81.8,606,3.7
46,LAGDERA,7910,376,4.8,7024,88.8,510,6.4
47,WAJIR,120367,10904,9.1,104965,87.2,4498,3.7
48,BUNA,6327,570,9,5481,86.6,276,4.4
49,ELDAS,13711,1570,11.5,11885,86.7,256,1.9
