No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
1,KENYA ,466002,107462,2.3,64836,1.4,47904,1,278613,6,4123599,88.5,37613,0.8
2,Rural ,990602,26423,2.7,10848,1.1,12645,1.3,72747,7.3,846343,85.4,21596,2.2
3,Urban ,3669425,81039,2.2,53988,1.5,35259,1,205866,5,3277256,89.3,16017,0.4
4,MOMBASA ,297830,5649,1.9,6056,2,4034,1.4,16131,5.4,265188,89,772,0.3
5,CHANGAMWE ,41903,837,2,995,2.4,849,2,2301,5.5,36843,87.9,78,0.2
6,JOMVU ,39185,127,0.3,219,0.6,302,0.8,610,1.6,37883,96.7,44,0.1
7,KISAUNI ,62711,662,1.1,1009,1.6,479,0.8,4723,7.5,55756,88.9,82,0.1
8,LIKONI ,62586,917,1.5,1908,3,570,0.9,988,1.6,58111,92.8,92,0.1
9,MVITA ,32172,2931,9.1,1374,4.3,1577,4.9,3028,9.4,22873,71.1,389,1.2
10,NYALI ,59273,175,0.3,551,0.9,257,0.4,4481,7.6,53722,90.6,87,0.1
11,KWALE ,39612,849,2.1,489,1.2,265,0.7,1578,4,36170,91.3,261,0.7
12,KINANGO ,1359,62,4.6,44,3.2,10,0.7,6,0.4,1213,89.3,24,1.8
13,LUNGALUNGA ,3973,91,2.3,28,0.7,84,2.1,70,1.8,3655,92,45,1.1
14,MATUGA ,6374,403,6.3,112,1.8,89,1.4,213,3.3,5483,86,74,1.2
15,MSAMBWENI ,22098,172,0.8,153,0.7,62,0.3,890,4,20756,93.9,65,0.3
16,SAMBURU ,5808,121,2.1,152,2.6,20,0.3,399,6.9,5063,87.2,53,0.9
17,KILIFI ,98466,1965,2,1015,1,768,0.8,5410,5.5,88782,90.2,526,0.5
18,CHONYI ,318,18,5.7,4,1.3,1,0.3,9,2.8,280,88.1,6,1.9
19,GANZE ,1538,59,3.8,27,1.8,9,0.6,22,1.4,1398,90.9,23,1.5
20,KALOLENI ,8693,781,9,110,1.3,41,0.5,346,4,7377,84.9,38,0.4
21,KAUMA ,168,11,6.5,4,2.4,17,10.1,35,20.8,99,58.9,2,1.2
22,KILIFI NORTH,163,401,2.5,67,0.4,74,0.5,676,4.1,15090,92.2,53,0.3
23,KILIFI SOUTH,296,97,0.3,260,0.9,185,0.6,2758,9.3,26238,88.6,82,0.3
24,MAGARINI ,4314,92,2.1,31,0.7,14,0.3,189,4.4,3875,89.8,113,2.6
25,MALINDI ,31563,451,1.4,457,1.4,362,1.1,1213,3.8,28908,91.6,172,0.5
26,RABAI ,5891,55,0.9,55,0.9,65,1.1,162,2.7,5517,93.7,37,0.6
27,TANA RIVER,143,691,4.8,502,3.5,407,2.8,521,3.6,12057,83.8,205,1.4
28,TANA DELTA,274,162,5.9,81,3,39,1.4,19,0.7,2325,84.7,118,4.3
29,TANA NORTH,786,192,2.4,329,4.2,329,4.2,420,5.3,6559,83.4,36,0.5
30,TANA RIVER,377,337,8.9,92,2.4,39,1,82,2.2,3173,84.1,51,1.4
31,LAMU ,10981,536,4.9,63,0.6,24,0.2,260,2.4,9929,90.4,169,1.5
32,LAMU EAST,1187,83,7,9,0.8,5,0.4,3,0.3,1080,91,7,0.6
33,LAMU WEST,9794,453,4.6,54,0.6,19,0.2,257,2.6,8849,90.4,162,1.7
34,TAITA/TAVETA ,31754,1341,4.2,152,0.5,687,2.2,2094,6.6,27085,85.3,395,1.2
35,MWATATE ,6248,84,1.3,16,0.3,33,0.5,1285,20.6,4701,75.2,129,2.1
36,TAITA ,2517,366,14.5,37,1.5,11,0.4,58,2.3,1962,77.9,83,3.3
37,TAVETA ,8053,513,6.4,67,0.8,124,1.5,455,5.7,6832,84.8,62,0.8
38,VOI ,14936,378,2.5,32,0.2,519,3.5,296,2,13590,91,121,0.8
39,GARISSA ,17450,1090,6.2,947,5.4,432,2.5,866,5,13028,74.7,1087,6.2
40,BALAMBALA ,71,33,46.5,7,9.9,- ,-,6,8.5,24,33.8,1,1.4
41,DADAAB ,2048,192,9.4,123,6,43,2.1,87,4.2,771,37.6,832,40.6
42,FAFI ,1047,111,10.6,58,5.5,66,6.3,68,6.5,551,52.6,193,18.4
43,GARISSA ,11892,621,5.2,576,4.8,257,2.2,621,5.2,9782,82.3,35,0.3
44,HULUGHO ,318,5,1.6,14,4.4,16,5,12,3.8,262,82.4,9,2.8
45,IJARA ,1714,32,1.9,153,8.9,44,2.6,62,3.6,1411,82.3,12,0.7
